type,subtype,row1,row2,n_lattice_points,dim,reflexive,pts5d_count
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",530,5,True,530
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",368,5,True,368
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",368,5,True,368
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",438,5,False,438
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",296,5,False,296
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",175,5,False,175
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",238,5,False,238
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",320,5,False,320
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 1)","(4, 2, 1, 1, 1, 0, 0)",846,5,True,846
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 2)","(4, 2, 1, 1, 1, 0, 0)",550,5,True,550
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 1, 1, 0, 0)",550,5,True,550
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",683,5,True,683
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",441,5,True,441
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",282,5,True,282
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",381,5,True,381
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",523,5,True,523
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 2)","(4, 2, 1, 1, 2, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 1, 2, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",443,5,True,443
